平沢唯,平沢進,P-MODEL,けいおん
秋山澪,秋山勝彦,P-MODEL,けいおん
田井中律,田井中貞利,P-MODEL,けいおん
琴吹紬,ことぶき光,P-MODEL,けいおん
中野梓,中野テルヲ,P-MODEL,けいおん
山中さわ子,山中さわお,the pillows,けいおん
和田晶,和田唱,TRICERATOPS,けいおん
巻上キミ子,巻上公一,ヒカシュー,けいおん
